student_id,subject_class_id,gpa,status
20029039,3,1.8,Finished
20029029,11,0.2,Failed
20029042,93,0.1,Failed
20029084,7,0.2,Failed
20029060,47,2.1,Finished
20029053,66,2.4,Finished
20029057,5,0.7,Failed
20029078,85,0.7,Failed
20029047,73,1.3,Finished
20029105,23,0.8,Failed
20029045,119,0.3,Failed
20029076,82,2.0,Finished
20029103,102,0.2,Failed
20029041,3,0.2,Failed
20029011,100,2.1,Finished
20029106,114,3.9,Finished
20029068,99,0.3,Failed
20029066,63,0.6,Failed
20029023,57,0.5,Failed
20029092,65,3.0,Finished
20029025,67,3.7,Finished
20029100,5,2.3,Finished
20029077,118,0.9,Failed
20029003,86,2.3,Finished
20029085,25,0.7,Failed
20029091,60,1.6,Finished
20029034,67,0.2,Failed
20029090,80,3.7,Finished
20029083,2,3.9,Finished
20029065,82,2.2,Finished
20029016,35,0.3,Failed
20029012,68,2.2,Finished
20029030,63,0.2,Failed
20029081,36,0.1,Failed
20029088,129,0.8,Failed
20029079,9,3.2,Finished
20029086,98,0.8,Failed
20029043,1,0.8,Failed
20029052,68,1.3,Finished
20029040,101,1.6,Finished
20029098,57,0.6,Failed
20029049,104,0.9,Failed
20029027,85,1.2,Finished
20029050,22,0.0,Failed
20029087,120,2.7,Finished
20029015,85,0.9,Failed
20029021,7,0.2,Failed
20029032,46,1.9,Finished
20029095,16,0.8,Failed
20029024,22,0.8,Failed
20029010,30,3.5,Finished
20029093,95,2.2,Finished
20029008,126,1.5,Finished
20029097,44,0.6,Failed
20029046,34,0.5,Failed
20029089,62,3.3,Finished
20029069,38,4.0,Finished
20029056,87,0.3,Failed
20029071,115,3.4,Finished
20029074,84,3.3,Finished
20029096,8,0.0,Failed
20029018,97,0.6,Failed
20029035,128,0.3,Failed
20029014,64,1.8,Finished
20029051,32,0.1,Failed
20029019,52,2.6,Finished
20029026,99,0.0,Failed
20029063,44,1.5,Finished
20029061,96,0.8,Failed
20029072,66,1.9,Finished
20029004,36,0.6,Failed
20029036,53,0.3,Failed
20029006,34,4.0,Finished
20029002,8,0.6,Failed
20029009,12,0.0,Failed
20029000,70,2.5,Finished
20029059,107,1.8,Finished
20029094,110,0.0,Failed
20029075,26,4.0,Finished
20029005,5,2.4,Finished
20029007,89,2.6,Finished
20029070,41,2.1,Finished
20029028,26,0.5,Failed
20029033,39,0.3,Failed
20029104,86,0.2,Failed
20029054,39,0.6,Failed
20029037,42,3.4,Finished
20029001,26,0.6,Failed
20029080,2,3.8,Finished
20029102,21,0.7,Failed
20029020,120,0.6,Failed
20029073,63,3.0,Finished
20029038,59,3.3,Finished
20029013,12,0.8,Failed
20029048,21,1.9,Finished
20029064,53,0.7,Failed
20029099,95,1.8,Finished
20029044,67,0.3,Failed
20029055,26,3.5,Finished
20029022,112,3.5,Finished
20029082,112,0.7,Failed
20029062,40,1.0,Finished
20029017,126,2.8,Finished
20029031,100,1.9,Finished
20029101,97,2.0,Finished
20029058,5,3.8,Finished
20029067,45,0.1,Failed
20022138,94,0.7,Failed
20022171,118,0.0,Failed
20022168,82,0.6,Failed
20022189,1,0.7,Failed
20022162,49,3.9,Finished
20022200,27,0.5,Failed
20022201,96,0.5,Failed
20022206,15,0.1,Failed
20022105,119,2.7,Finished
20022121,89,0.7,Failed
20022205,93,2.4,Finished
20022186,49,0.0,Failed
20022122,25,1.3,Finished
20022133,70,0.4,Failed
20022198,100,3.8,Finished
20022216,98,2.6,Finished
20022151,14,0.3,Failed
20022137,3,3.0,Finished
20022181,23,0.1,Failed
20022187,41,0.6,Failed
20022191,100,1.8,Finished
20022173,111,2.0,Finished
20022180,76,2.6,Finished
20022136,77,0.7,Failed
20022142,22,1.9,Finished
20022150,52,2.9,Finished
20022211,54,1.0,Finished
20022128,37,0.2,Failed
20022002,49,0.0,Failed
20022141,91,1.7,Finished
20022112,104,2.2,Finished
20022143,16,0.7,Failed
20022217,17,3.3,Finished
20022184,6,0.8,Failed
20022144,25,3.8,Finished
20022101,113,3.6,Finished
20022209,55,0.8,Failed
20022146,87,0.4,Failed
20022109,103,0.4,Failed
20022115,100,0.6,Failed
20022165,70,0.4,Failed
20022100,1,2.0,Finished
20022155,98,0.3,Failed
20022204,37,1.3,Finished
20022176,110,0.7,Failed
20022147,36,1.7,Finished
20022106,94,3.8,Finished
20022117,30,0.5,Failed
20022152,27,3.4,Finished
20022214,11,1.9,Finished
20022124,88,1.5,Finished
20022123,108,0.5,Failed
20022111,14,2.8,Finished
20022134,83,2.0,Finished
20022194,10,0.5,Failed
20022210,44,0.9,Failed
20022127,71,2.9,Finished
20022164,104,3.6,Finished
20022108,27,3.4,Finished
20022102,63,0.5,Failed
20022163,88,3.3,Finished
20022196,72,3.2,Finished
20022218,28,0.6,Failed
20022190,33,0.5,Failed
20022185,3,0.4,Failed
20022183,89,2.8,Finished
20022158,58,0.7,Failed
20022104,48,0.8,Failed
20022149,126,0.1,Failed
20022113,106,0.6,Failed
20022148,129,3.2,Finished
20022118,94,2.8,Finished
20022157,124,1.4,Finished
20022172,35,1.2,Finished
20022154,108,0.1,Failed
20022207,129,1.9,Finished
20022179,59,0.2,Failed
20022208,25,0.5,Failed
